Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_1.txt	50	5	3	Optimal	88.37091279029846	B	128.0	147.0	275.0	859.0	147.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_2.txt	50	5	5	Optimal	264.4436390399933	B	222.0	244.0	466.0	3395.0	244.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_3.txt	50	5	10	Optimal	950.4424829483032	B	416.0	567.0	983.0	1342.0	567.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_4.txt	50	5	15	Optimal	3543.323179960251	B	759.0	783.0	1542.0	1796.0	783.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_5.txt	50	5	20	TimeLimit	3600.0826239585876	B	923.0	1205.0	2128.0	645.0	921.0	0.23568464730290456
MIP	../../instancesSurcharges/alpha0_2/Beasley/p11_1.txt	100	10	3	Optimal	3480.0274529457092	B	87.0	93.0	180.0	1214.0	93.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p11_2.txt	100	10	5	TimeLimit	3600.6117238998413	B	166.0	176.0	342.0	478.0	139.0	0.21022727272727273
MIP	../../instancesSurcharges/alpha0_2/Beasley/p11_3.txt	100	10	10	TimeLimit	3600.251890182495	B	369.0	452.0	821.0	137.0	303.0	0.32964601769911506
MIP	../../instancesSurcharges/alpha0_2/Beasley/p12_1.txt	100	10	3	TimeLimit	3600.0142030715942	B	106.0	110.0	216.0	632.0	87.0	0.20909090909090908
MIP	../../instancesSurcharges/alpha0_2/Beasley/p12_2.txt	100	10	5	TimeLimit	3600.1315290927887	B	174.0	179.0	353.0	406.0	148.0	0.17318435754189945
MIP	../../instancesSurcharges/alpha0_2/Beasley/p12_3.txt	100	10	10	TimeLimit	3600.077780008316	B	354.0	420.0	774.0	301.0	300.0	0.2857142857142857
MIP	../../instancesSurcharges/alpha0_2/Beasley/p13_1.txt	100	10	3	TimeLimit	3600.0513949394226	B	88.0	98.0	186.0	1184.0	93.0	0.05102040816326531
MIP	../../instancesSurcharges/alpha0_2/Beasley/p13_2.txt	100	10	5	TimeLimit	3600.0655732154846	B	169.0	182.0	351.0	520.0	149.0	0.1813186813186813
MIP	../../instancesSurcharges/alpha0_2/Beasley/p13_3.txt	100	10	10	TimeLimit	3600.3141288757324	B	392.0	423.0	815.0	440.0	344.0	0.1867612293144208
MIP	../../instancesSurcharges/alpha0_2/Beasley/p13_4.txt	100	10	15	TimeLimit	3600.0789449214935	B	695.0	860.0	1555.0	9.0	453.0	0.47325581395348837
MIP	../../instancesSurcharges/alpha0_2/Beasley/p14_1.txt	100	10	3	TimeLimit	3600.01149392128	B	87.0	96.0	183.0	1373.0	89.0	0.07291666666666667
MIP	../../instancesSurcharges/alpha0_2/Beasley/p14_2.txt	100	10	5	TimeLimit	3600.021290063858	B	156.0	175.0	331.0	1088.0	151.0	0.13714285714285715
MIP	../../instancesSurcharges/alpha0_2/Beasley/p14_3.txt	100	10	10	TimeLimit	3600.029573917389	B	343.0	381.0	724.0	455.0	332.0	0.12860892388451445
MIP	../../instancesSurcharges/alpha0_2/Beasley/p14_4.txt	100	10	15	TimeLimit	3600.0697038173676	B	501.0	642.0	1143.0	331.0	477.0	0.2570093457943925
MIP	../../instancesSurcharges/alpha0_2/Beasley/p14_5.txt	100	10	20	TimeLimit	3600.05126285553	B	660.0	1012.0	1672.0	1397.0	628.0	0.3794466403162055
MIP	../../instancesSurcharges/alpha0_2/Beasley/p15_1.txt	100	10	3	TimeLimit	3600.0206639766693	B	90.0	98.0	188.0	2098.0	87.0	0.11224489795918367
MIP	../../instancesSurcharges/alpha0_2/Beasley/p15_2.txt	100	10	5	TimeLimit	3600.0314271450043	B	158.0	187.0	345.0	820.0	154.0	0.17647058823529413
MIP	../../instancesSurcharges/alpha0_2/Beasley/p15_3.txt	100	10	10	TimeLimit	3600.029121160507	B	328.0	390.0	718.0	621.0	296.0	0.24102564102564103
MIP	../../instancesSurcharges/alpha0_2/Beasley/p15_4.txt	100	10	15	TimeLimit	3600.1209149360657	B	545.0	629.0	1174.0	347.0	468.0	0.2559618441971383
MIP	../../instancesSurcharges/alpha0_2/Beasley/p15_5.txt	100	10	20	TimeLimit	3600.05801486969	B	768.0	894.0	1662.0	159.0	634.0	0.29082774049217003
MIP	../../instancesSurcharges/alpha0_2/Beasley/p16_1.txt	100	10	3	TimeLimit	3600.0088720321655	B	96.0	104.0	200.0	3010.0	100.0	0.038461538461538464
MIP	../../instancesSurcharges/alpha0_2/Beasley/p16_2.txt	100	10	5	TimeLimit	3600.0240449905396	B	169.0	175.0	344.0	705.0	146.0	0.1657142857142857
MIP	../../instancesSurcharges/alpha0_2/Beasley/p16_3.txt	100	10	10	TimeLimit	3600.0630729198456	B	325.0	359.0	684.0	1484.0	335.0	0.06685236768802229
MIP	../../instancesSurcharges/alpha0_2/Beasley/p16_4.txt	100	10	15	TimeLimit	3600.177456140518	B	599.0	678.0	1277.0	330.0	468.0	0.30973451327433627
MIP	../../instancesSurcharges/alpha0_2/Beasley/p16_5.txt	100	10	20	TimeLimit	3600.1297681331635	B	733.0	837.0	1570.0	261.0	617.0	0.2628434886499403
MIP	../../instancesSurcharges/alpha0_2/Beasley/p17_1.txt	100	10	3	TimeLimit	3600.005151987076	B	94.0	100.0	194.0	939.0	86.0	0.14
MIP	../../instancesSurcharges/alpha0_2/Beasley/p17_2.txt	100	10	5	TimeLimit	3600.012692928314	B	164.0	180.0	344.0	767.0	143.0	0.20555555555555555
MIP	../../instancesSurcharges/alpha0_2/Beasley/p17_3.txt	100	10	10	TimeLimit	3600.0195059776306	B	362.0	417.0	779.0	343.0	327.0	0.2158273381294964
MIP	../../instancesSurcharges/alpha0_2/Beasley/p17_4.txt	100	10	15	TimeLimit	3600.0321180820465	B	662.0	746.0	1408.0	1515.0	559.0	0.25067024128686327
