Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_2.txt	100	10	5	TimeLimit	3600.0133559703827	A	116.0	553.0	669.0	1758.0	99.0	0.14655172413793102
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_3.txt	100	10	10	TimeLimit	3600.0338320732117	A	257.0	1121.0	1378.0	527.0	240.0	0.06614785992217899
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_4.txt	100	10	15	TimeLimit	3600.0976569652557	A	401.0	1571.0	1972.0	500.0	393.0	0.0199501246882793
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_5.txt	100	10	20	TimeLimit	3600.0546967983246	A	517.0	2244.0	2761.0	210.0	437.0	0.15473887814313347
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_1.txt	100	10	3	TimeLimit	3600.009078025818	A	71.0	320.0	391.0	5518.0	64.0	0.09859154929577464
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_2.txt	100	10	5	TimeLimit	3600.022022008896	A	128.0	577.0	705.0	1453.0	109.0	0.1484375
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_3.txt	100	10	10	TimeLimit	3600.0139689445496	A	250.0	1145.0	1395.0	960.0	213.0	0.148
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_4.txt	100	10	15	TimeLimit	3600.137046098709	A	361.0	1602.0	1963.0	531.0	333.0	0.07756232686980609
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_5.txt	100	10	20	TimeLimit	3600.041337966919	A	516.0	2176.0	2692.0	412.0	445.0	0.1375968992248062
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p19_1.txt	100	10	3	Optimal	115.8173680305481	A	66.0	318.0	384.0	31.0	66.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p19_2.txt	100	10	5	TimeLimit	3600.012412071228	A	114.0	544.0	658.0	2023.0	106.0	0.07017543859649122
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p19_3.txt	100	10	10	TimeLimit	3600.1182010173798	A	268.0	1000.0	1268.0	497.0	225.0	0.16044776119402984
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p19_4.txt	100	10	15	TimeLimit	3600.034898042679	A	365.0	1600.0	1965.0	858.0	346.0	0.052054794520547946
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p19_5.txt	100	10	20	TimeLimit	3600.0706770420074	A	496.0	2039.0	2535.0	163.0	435.0	0.12298387096774194
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_1.txt	50	5	3	Optimal	68.44641017913818	A	100.0	298.0	398.0	888.0	100.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_2.txt	50	5	5	Optimal	67.34801816940308	A	168.0	470.0	638.0	306.0	168.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_3.txt	50	5	10	Optimal	100.16007399559021	A	399.0	1110.0	1509.0	238.0	399.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_4.txt	50	5	15	Optimal	206.10457396507263	A	537.0	1650.0	2187.0	354.0	537.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_5.txt	50	5	20	Optimal	547.3852379322052	A	666.0	1729.0	2395.0	263.0	666.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_1.txt	100	10	3	TimeLimit	3600.008017063141	A	69.0	338.0	407.0	5108.0	58.0	0.15942028985507245
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_2.txt	100	10	5	TimeLimit	3600.0087320804596	A	103.0	552.0	655.0	2603.0	99.0	0.038834951456310676
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_3.txt	100	10	10	TimeLimit	3600.023772954941	A	224.0	1015.0	1239.0	1320.0	200.0	0.10714285714285714
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_4.txt	100	10	15	TimeLimit	3600.0421919822693	A	350.0	1612.0	1962.0	873.0	339.0	0.03142857142857143
