LP	../../instancesSurcharges/alpha0_1/Beasley/p10_1.txt	50	5	3	Optimal	0.3849308490753174	A	50.918101931997924	126.18305232744667	177.1011542594446	0.0	65.66684779837279
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_2.txt	50	5	5	Optimal	1.9661641120910645	A	117.23066973652328	268.2814390134314	385.5121087499547	0.0	141.61739961862864
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_3.txt	50	5	10	Optimal	1.2448370456695557	A	280.09501387757695	540.3373996898873	820.4324135674642	0.0	315.86869265886776
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_4.txt	50	5	15	Optimal	5.154723882675171	A	348.42672344885017	715.2997068333527	1063.726430282203	0.0	444.72793766546295
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_5.txt	50	5	20	Optimal	7.271635055541992	A	387.6098445339925	808.426260152225	1196.0361046862176	0.0	552.6776226542985
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_1.txt	100	10	3	Optimal	4.684225082397461	A	55.0	214.3817626413816	269.3817626413816	0.0	55.0
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_2.txt	100	10	5	Optimal	10.073426961898804	A	78.48497197658737	310.76344891449486	389.2484208910822	0.0	83.46065755489664
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_3.txt	100	10	10	Optimal	45.213557958602905	A	162.22753531681198	617.0636001242947	779.2911354411067	0.0	190.16255501385947
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_4.txt	100	10	15	Optimal	61.248536109924316	A	243.33043526197267	736.4504559484271	979.7808912103998	0.0	288.8056825408162
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_5.txt	100	10	20	Optimal	39.18217611312866	A	325.78140839776506	1059.1779949303668	1384.9594033281319	0.0	374.91821268389276
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_1.txt	100	10	3	Optimal	14.910381078720093	A	47.545377434885786	188.2069889100155	235.75236634490128	0.0	48.515932063830185
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_2.txt	100	10	5	Optimal	7.65506386756897	A	81.32709534035575	326.71390647922465	408.0410018195804	0.0	94.42619751879026
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_3.txt	100	10	10	Optimal	14.865488052368164	A	158.59966377440188	553.7437796205671	712.343443394969	0.0	185.92526780433664
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_4.txt	100	10	15	Optimal	35.64529299736023	A	313.71151659678225	1039.1165012559939	1352.8280178527762	0.0	331.51193143517764
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_5.txt	100	10	20	Optimal	102.8494508266449	A	372.00505021323147	1162.020036972355	1534.0250871855865	0.0	425.6998089522752
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_1.txt	100	10	3	Optimal	18.355476140975952	A	62.115110175389134	232.49451972216812	294.6096298975573	0.0	62.39025926444941
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_2.txt	100	10	5	Optimal	26.919070959091187	A	80.49586718852647	297.1890521548148	377.6849193433413	0.0	86.77097831091362
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_3.txt	100	10	10	Optimal	36.34700107574463	A	148.70658733086657	549.4559186584871	698.1625059893537	0.0	181.6264065173553
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_4.txt	100	10	15	Optimal	57.4156551361084	A	251.3424436418905	788.6679641751509	1040.0104078170414	0.0	293.72130328133875
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_5.txt	100	10	20	Optimal	382.9896478652954	A	339.7280470318837	887.8699660928785	1227.5980131247622	0.0	426.4074511447417
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_1.txt	100	10	3	Optimal	102.01467800140381	A	54.62838934257444	228.15110813628598	282.77949747886043	0.0	54.62838934257444
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_2.txt	100	10	5	Optimal	32.10478186607361	A	84.81889414043796	428.3070667958151	513.125960936253	0.0	86.69290359322629
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_3.txt	100	10	10	Optimal	273.0693190097809	A	196.0738947993347	672.7590815175703	868.8329763169049	0.0	215.36534277254967
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_4.txt	100	10	15	Optimal	178.34312105178833	A	280.10370337600284	886.2086591388946	1166.3123625148974	0.0	300.5462336359035
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_5.txt	100	10	20	Optimal	515.6925959587097	A	405.22530442519223	1264.9445112344395	1670.1698156596317	0.0	447.2561823993725
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_1.txt	100	10	3	Optimal	30.720196962356567	A	46.5957023236624	167.4089563764964	214.0046587001588	0.0	50.60238692435877
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_2.txt	100	10	5	Optimal	83.94542407989502	A	83.24228190180082	370.13896189483944	453.38124379664026	0.0	95.80895187472292
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_3.txt	100	10	10	Optimal	77.98311805725098	A	155.97808856565	468.42534273394193	624.403431299592	0.0	184.14702921688
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_4.txt	100	10	15	Optimal	171.71655106544495	A	271.3821808891914	1142.1988531394545	1413.581034028646	0.0	295.6885266971686
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_5.txt	100	10	20	Optimal	478.63278317451477	A	331.8413305980605	873.8953550571151	1205.7366856551757	0.0	427.6420631863706
