Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_15_2.txt	45	15	9	Optimal	1.3698251247406006	A	174.0	392.0	566.0	1.0	174.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_4_1.txt	45	4	4	Optimal	21.045893907546997	A	117.0	181.0	298.0	491.0	117.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_4_2.txt	45	4	9	Optimal	10.908354997634888	A	254.0	464.0	718.0	34.0	254.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_9_1.txt	45	9	4	Optimal	0.6615948677062988	A	124.0	170.0	294.0	1.0	124.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_9_2.txt	45	9	9	Optimal	7.457646131515503	A	226.0	401.0	627.0	15.0	226.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea50_10_1.txt	50	10	5	Optimal	1071.4354100227356	A	113.0	220.0	333.0	22576.0	113.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea50_10_2.txt	50	10	10	Optimal	1089.8108689785004	A	240.0	440.0	680.0	3341.0	240.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea50_16_1.txt	50	16	5	Optimal	5.308043003082275	A	96.0	206.0	302.0	1.0	96.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea50_16_2.txt	50	16	10	Optimal	45.10851192474365	A	210.0	439.0	649.0	118.0	210.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea50_5_1.txt	50	5	5	Optimal	228.13468885421753	A	147.0	258.0	405.0	633.0	147.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea50_5_2.txt	50	5	10	Optimal	1162.6682069301605	A	320.0	471.0	791.0	2435.0	320.0	0.0
