Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_1/Beasley/p10_1.txt	50	5	3	Optimal	15.226258039474487	A	92.0	309.0	401.0	81.0	92.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Beasley/p10_2.txt	50	5	5	Optimal	61.62405300140381	A	198.0	466.0	664.0	520.0	198.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Beasley/p10_3.txt	50	5	10	Optimal	72.3612380027771	A	410.0	975.0	1385.0	28.0	410.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Beasley/p10_4.txt	50	5	15	Optimal	292.8209080696106	A	539.0	1481.0	2020.0	69.0	539.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Beasley/p10_5.txt	50	5	20	Optimal	2012.7992360591888	A	766.0	2226.0	2992.0	284.0	766.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Beasley/p11_1.txt	100	10	3	Optimal	578.1687371730804	A	62.0	292.0	354.0	171.0	62.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Beasley/p11_2.txt	100	10	5	TimeLimit	3600.060883998871	A	114.0	545.0	659.0	334.0	100.0	0.12280701754385964
MIP	../../instancesSurcharges/alpha0_1/Beasley/p11_3.txt	100	10	10	TimeLimit	3600.024889945984	A	279.0	1125.0	1404.0	120.0	222.0	0.20430107526881722
MIP	../../instancesSurcharges/alpha0_1/Beasley/p11_4.txt	100	10	15	TimeLimit	3600.168788909912	A	567.0	1385.0	1952.0	28.0	322.0	0.43209876543209874
MIP	../../instancesSurcharges/alpha0_1/Beasley/p11_5.txt	100	10	20	TimeLimit	3600.2466559410095	A	1217.0	2131.0	3348.0	1.0	424.0	0.6516023007395234
MIP	../../instancesSurcharges/alpha0_1/Beasley/p12_1.txt	100	10	3	Optimal	3533.798954963684	A	65.0	360.0	425.0	3092.0	65.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Beasley/p12_2.txt	100	10	5	TimeLimit	3600.090759038925	A	124.0	510.0	634.0	331.0	108.0	0.12903225806451613
MIP	../../instancesSurcharges/alpha0_1/Beasley/p12_3.txt	100	10	10	TimeLimit	3600.4357028007507	A	239.0	1085.0	1324.0	466.0	217.0	0.09205020920502092
MIP	../../instancesSurcharges/alpha0_1/Beasley/p12_4.txt	100	10	15	TimeLimit	3600.282243013382	A	396.0	1583.0	1979.0	163.0	363.0	0.08333333333333333
MIP	../../instancesSurcharges/alpha0_1/Beasley/p13_1.txt	100	10	3	Optimal	572.4854550361633	A	72.0	352.0	424.0	180.0	72.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Beasley/p13_2.txt	100	10	5	TimeLimit	3600.0336768627167	A	116.0	509.0	625.0	280.0	104.0	0.10344827586206896
MIP	../../instancesSurcharges/alpha0_1/Beasley/p13_3.txt	100	10	10	TimeLimit	3600.154354095459	A	267.0	1151.0	1418.0	157.0	220.0	0.1760299625468165
MIP	../../instancesSurcharges/alpha0_1/Beasley/p13_4.txt	100	10	15	TimeLimit	3600.792771100998	A	416.0	1593.0	2009.0	131.0	333.0	0.19951923076923078
MIP	../../instancesSurcharges/alpha0_1/Beasley/p13_5.txt	100	10	20	TimeLimit	3600.475219964981	A	563.0	2123.0	2686.0	56.0	468.0	0.16873889875666073
MIP	../../instancesSurcharges/alpha0_1/Beasley/p14_1.txt	100	10	3	TimeLimit	3600.0201828479767	A	73.0	327.0	400.0	2197.0	66.0	0.0958904109589041
MIP	../../instancesSurcharges/alpha0_1/Beasley/p14_2.txt	100	10	5	TimeLimit	3600.0365359783173	A	120.0	535.0	655.0	998.0	106.0	0.11666666666666667
MIP	../../instancesSurcharges/alpha0_1/Beasley/p14_3.txt	100	10	10	TimeLimit	3600.0663299560547	A	259.0	1019.0	1278.0	219.0	238.0	0.08108108108108109
